"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"2010",3,306713.984,4994506.6445,0.1292388,0.0562176,0.3668711,0.4451243,0.7321395,178.0916443,0.0014656,0.0955058,0.0566496,0.20841,0.2814568,0.7321395,178.0916443,0.0038188
"2410",3,306844.961,4994519.4695,0.0579956,0.0370426,0.145132,0.1702812,0.6642019,179.0850372,0.0050016,0.058041,0.0305152,0.1221322,0.1428739,0.6642019,179.0850372,0.0009401
"2510",3,306842.2415,4994471.5587,0.0784121,0.0617213,0.2053731,0.2521381,0.6059765,179.4119263,0.0202901,0.0775772,0.0627117,0.201451,0.2373613,0.6059765,179.4119263,0.0099127
"2610",3,306870.4938,4994448.6434,0.0860289,0.0806775,0.1824067,0.2308252,0.5534116,179.0531921,0.0016995,0.0400693,0.0255209,0.0677918,0.0848308,0.5534116,179.0531921,0.0036802
"301",3,306834.3673,4994509.6313,0.1065712,0.105102,0.2440103,0.3058927,0.5101553,179.0177612,0.0030339,0.0551316,0.0426399,0.1204297,0.148943,0.5101553,179.0177612,0.0004466
"341",3,306855.8345,4994468.1557,0.0575407,0.0315247,0.1233649,0.1405608,0.5924362,179.1009369,0.0017078,0.0488129,0.024465,0.0774708,0.0919609,0.5924362,179.1009369,0.0010142
"401",3,306762.9913,4994448.8953,0.1129551,0.0919314,0.2263982,0.2790282,0.51849,178.6959839,0.0010955,0.0653305,0.0434921,0.1595053,0.1716007,0.51849,178.6959839,0.0074029
"411",3,306898.7181,4994475.3906,0.0283154,0.0158681,0.046936,0.0576095,0.5227913,179.0973358,0.000894,0.0190433,0.0082948,0.0164934,0.0190692,0.5227913,179.0973358,0.0128192
"421",3,306853.3552,4994496.6808,0.0471319,0.0301178,0.0610219,0.0712903,0.3384471,179.0954742,0.0069079,0.0415598,0.023139,0.0616708,0.0706756,0.3384471,179.0954742,0.0082606
"441",3,306927.0631,4994534.7845,0.0645482,0.0388455,0.1948582,0.3097736,0.7986065,179.6250458,0.0032083,0.0741083,0.0449601,0.2228111,0.3220437,0.7986065,179.6250458,0.0063216
"461",3,306812.3447,4994537.9358,0.0977664,0.0613705,0.2614836,0.351024,0.7571032,178.9424896,0.0071087,0.0928931,0.0693543,0.2380625,0.306842,0.7571032,178.9424896,0.0105497
"471",3,306809.1541,4994440.0538,0.0785386,0.063921,0.133584,0.1713886,0.4684801,179.064743,0.0047171,0.0309181,0.0174933,0.0323129,0.0526888,0.4684801,179.064743,0.0009422
"541",3,306697.4136,4994424.7374,0.0989214,0.0574427,0.2338208,0.2683177,0.6539761,177.9261475,0.0011998,0.0501986,0.0313655,0.0991023,0.1027959,0.6539761,177.9261475,0
"551",3,306916.4652,4994480.2517,0.0319767,0.0193541,0.0594067,0.0678261,0.5902629,179.0512238,0.0026711,0.0194879,0.0088246,0.017219,0.0192485,0.5902629,179.0512238,0.0188509
"561",3,306901.0321,4994482.3224,0.0283037,0.0164842,0.0535365,0.064221,0.6072254,179.0459595,0.0009002,0.019608,0.0090556,0.0207539,0.0230065,0.6072254,179.0459595,0.0272507
